conversation_id,customer_text,historical_reply,suggested_intent,gold_intent,gold_action,gold_reply_quality,label_notes
894895_894897,@AppleSupport Music isn’t as loud as it used to be and sky go (that’s probably a Sky go app issue..... on full volume and can hardly hear any talking).,@332480 Are you using the native Music app or another app to play that music? Have you tried other apps as well?,app_issue,,,,
1599046_1599045,@AppleSupport can we get an update for iOS to stop this bug? <URL>,@491082 We'd like to help. Could we please have you send us a DM so we can get started on this? <URL>,ios_update_issue,,,,
610247_610246,Can someone explain to me why the WiFi setting keeps turning on by itself with the new iPhone update?!?!? 😭 @115858,@265083 Check out the following article for information on this: <URL> <URL>,ios_update_issue,,,,
240544_240543,@173136 @AppleSupport Ah oui effectivement déjà moi mon 6S est un peu ralenti j’imagine pas l’tien,@173135 We offer support via Twitter in English. Contact us for help in your preferred language here: <URL>,app_issue,,,,
1533028_1533027,Hey @AppleSupport can you explain this problem I’m having every time I️ try to type “I️” 😑,@475479 We can definitely look into this with you. Which device are you using? DM us and we'll go from there. <URL>,app_issue,,,,
873895_873896,@AppleSupport @200998 are perfectly working fine with my phone it’s @115858 maps not working,@327468 Let's continue this conversation in DM. <URL>,app_issue,,,,
2966663_2966662,"LOL, the update button’s body keeps spinning. Target the wrong layer, @115858? <URL>",@652687 We appreciate you contacting us. Not being able to update would concern us too. Let's partner together in resolving this matter. DM us to get started. <URL>,ios_update_issue,,,,
1748014_1748012,"10) hola @AppleSupport @115858, recordáis que tenéis un caso abierto conmigo desde hace ya 3 meses verdad?? Solución cuando???",@526937 We offer support via Twitter in English. Get help in Spanish here: <URL> or join <URL>,app_issue,,,,
146597_146596,"@AppleSupport you restored my phone without my permission and deleted everything on my phone, thanks for nothing.",@149275 We'd like to look into this with you. Can you tell us when you noticed the missing content and restored device?,app_issue,,,,
2210633_2210635,@AppleSupport Thank you. Can you recommend a website to purchase at good value #airpods #apple #iphone8,"@646131 Of course, you can purchase AirPods from <URL> Let us know if you need help and we'll get you in contact with our Sales Advisors.",app_issue,,,,
982069_982067,Since upgrading to 11.0.3 I’ve noticed that bluetooth has come on randomly. @AppleSupport,@352848 We're here to help! Check out info on Bluetooth in iOS 11.0.3. This link has more info: <URL>,app_issue,,,,
1714773_1714771,@AppleSupport safari is literally bricked on my phone now wtf i was just on amazon :(,@519334 We want to help. Are you able to Force Quit Safari or restart your iPhone? <URL>,app_issue,,,,
700016_700018,@AppleSupport i am using 11.1.2 it restarts on its own 20+ times a day,@287020 Alright. Let's move over to DM to troubleshoot further. <URL>,app_issue,,,,
657201_657200,My ios 11.0.2 loses the wi fi Connection every 3 minutes And i must reconnection ! @AppleSupport,@276437 We're here to help. Which device are you experiencing the Wi-Fi issues on?,ios_update_issue,,,,
200497_200495,@AppleSupport what have you done w ios 11? It has crippled my phone. Each new update seems to do more harm than good. Msg app useless,@163308 We want to help. Being able to use your Message app is certainly important. What happens when you try to use the message app?,ios_update_issue,,,,
2522533_2522532,"@AppleSupport wondering if you heard the news that 11.1.1 sucks, most things no longer work on my phone.... thanks again for the hardship! Can I go back to 10.3 please",@718411 We'd like to help with this. Could you please send us a DM with what issues you're having so we can take a look? <URL>,app_issue,,,,
2009140_2009139,@115858 stop making me update my phone if this is what’s gonna happen,"@594105 If you're running into any issue, we certainly want to help to get this resolved. Go ahead and DM us so we can help. <URL>",ios_update_issue,,,,
2431326_2431325,@AppleSupport Fix this man <URL>,"@697900 We've released a fix for this issue in the latest iOS version which is iOS 11.1.1. To install this version, make sure to create a backup and update using the steps here: <URL>",app_issue,,,,
1938100_1938098,Hey @AppleSupport I seem to be missing something. 11.0.3 isn’t being my friend. <URL>,"@160279 Let's work on this together. Have you restarted since noticing the status bar missing? If so, please DM us to proceed. <URL>",app_issue,,,,
2621152_2621151,@115858 @AppleSupport why isn’t your support team replying to me?,@740619 Send us a DM by clicking on the link below. We'll continue there. <URL>,app_issue,,,,
1221037_1221036,@AppleSupport do you guys know what’s up with this message? A lot of my friends that own iPhones also got it. 🤔 <URL>,@406504 That is not a legitimate message from us. Thanks for bringing it to our attention. To learn more: <URL>,app_issue,,,,
569271_569270,@AppleSupport we need our Mac back. This java pop up makes no sense and we can’t get rid of it. <URL>,@253590 Let''s help get this sorted. Please DM us the version of macOS you're using and we can go from there together. <URL>,app_issue,,,,
1009094_1009096,@AppleSupport On iPhone SE running iOS 11.0.2,"@358781 Thanks for the info. We can go ahead and update to 11.0.3, which should patch the app.",ios_update_issue,,,,
1270270_1270269,Cc: @AppleSupport,@417408 We'd be happy to look into these issues with you. Please reach out to us via DM and we'll get started. <URL>,app_issue,,,,
746876_746874,"Hey @AppleSupport, is it normal that the new iOS has WiFi connectivity issues? (iPhone 7+)",@298541 Thanks for reaching out. We can help. Can you clarify the issue? Are you having issues connecting or staying connected to a network?,connectivity_issue,,,,
2070576_2070575,@115858 @AppleSupport please help a child! And explain why I should pay 1k for a phone I might need to wait a week to fix with your buggy os?,"@612346 This certainly isn't the experience that we want you to have, and we can help you with her iPhone. Send us a DM to begin. <URL>",general_support,,,,
2753667_2753669,@AppleSupport It is from multiple contacts. Not all messages are having that scenario. I’m really wondering why it wouldn’t show on the lockscreen.,"@770790 We recommend creating backup of your data, and update your iOS to iOS 11.1.2 and let us know if this resolves the problem. This article has the details: <URL>",screen_display_issue,,,,
559071_559066,Two more hours and still no response from @AppleSupport’s Senior Support or any Support team. Another entire day with all our lives on hold to try to help my mother get her phone back. Three adults - all day - wasted.,@225520 We apologize for the delay. Send us a DM including your time zone. We'll continue there. <URL>,app_issue,,,,
243353_243351,Görüşme yaparken bu sorunu birtek ben mi yaşıyorum?@118936 @115858 @AppleSupport #iOS11 #ios11update <URL>,@173795 We offer support via Twitter in English. Contact us for help in your preferred language here: <URL>,ios_update_issue,,,,
2285141_2285140,really annoyed w the “i️” thing. fix it @AppleSupport,"@664036 We'd love to help! This issue should be resolved with the 11.1.1 update. Is your device currently running that version? If not, please try updating to that (make sure to back up first, just in case) and let us know if the behavior continues.",app_issue,,,,
2002297_2002296,@AppleSupport how can I fix this? <URL>,"@592069 We’re happy to help. Try restarting your iPhone with these steps, and let us know what happens in DM: <URL> <URL>",app_issue,,,,
2476125_2476126,"@AppleSupport Done multiple times from previous days but it keeps happening. Happened after I upgraded the software, is this a known issue? What can I do to fix it?","@707817 OK, go ahead and send us a DM so we can look into additional options with you. <URL>",ios_update_issue,,,,
488074_488073,@AppleSupport If I have wifi enabled on my iMac running latest MacOS it keeps waking my USB hard drives during sleep every 30-60 sec or so. Disabling wifi and only keep wired connection fixes it. Seem like a bug and not a feature :) Fix?,@123502 Hi there! We'd like to check a few settings so we can narrow this down. Would you mind sending us a DM? <URL>,connectivity_issue,,,,
1053697_1053696,"@AppleSupport watch is fine, it’s just IPhone 📱 &amp; activity App getting it all wrong! But instead of congratulating me on a Sunday 4 goals it does it Mon.",@217276 Got it. Let's move to DM where we can dig in a bit more deeply. <URL>,app_issue,,,,
1185851_1185848,@AppleSupport since installing iOS 11.0.3 my phone app will not work. Have to use Siri to make calls and retrieve voice mails? Help!,"@398842 Thanks for reaching out to us, we're happy to help. What happens when you try to place a call?",ios_update_issue,,,,
1132195_1132196,"@AppleSupport ;) “willing to look into it”, as if you are doing me a favor? I highlighted an error on ‘ur’ site!",@386794 We appreciate you bringing this to our attention and have sent feedback. That info is also available here: <URL>,app_issue,,,,
512516_512515,"Decided to finally update to IOS11 after hearing decent things about it, an hour later and I've lost everything on my phone. On top of this I've still got to start packing for my plane tomorrow. Cheers @115858",@237869 Hello there. Timing is everything. We are here to help before you take off. Please meet us in a DM and share a few details. We'll get to work on it right away. Tap here please: <URL>,ios_update_issue,,,,
1993604_1993603,"Thanks, @AppleSupport for making it hard to talk about I️ self.",@590000 Thanks for reaching out. Which device and iOS version are you using? How long has this been happening? Let us know via DM. <URL>,app_issue,,,,
1756401_1756400,Dear @AppleSupport pls fix iPhones so it doesn’t autocorrect 'i' to an incomprehensible symbol! “MaGiCaL” doesn’t... <URL>,@528869 Here’s what you can do to work around the issue until it’s fixed in a future software update: <URL>,app_issue,,,,
12022_12024,"@AppleSupport The only keyboard I️ have is whatever my iPhone came with. It’s occurring in everything: messages, social media, emailing ect.",@118366 We'd like to take a closer look. Send us a DM and we can start there. <URL>,app_issue,,,,
1141646_1141644,@AppleSupport can you check my iphones battery status?,"@388729 We're glad to help. What kind of issues are you experiencing? Also, what version of iOS are you currently running?",battery_issue,,,,
2779334_2779335,@AppleSupport Don’t worry about it I’ll just reset my settings it’s all back to normal now,@776314 Wonderful! Let us know if you need any other assistance. We love to help.,app_issue,,,,
1566797_1566795,I’ve been awake for just over and hour and my phone has lost 30% battery life. Can I throw it in a fire @115858? It’s not been heavily used.,@483586 We can look into your battery in more detail today. Which iPhone model and iOS version are you using?,battery_issue,,,,
2117181_2117180,"@AppleSupport Downloaded 11.1 but can’t install it,tried resetting phone doesn’t work, i get error I’ve been disconnected from internet 🆘","@143066 We're here to help. Which model device are you currently using? Also, when this happens are you connected via Wi-Fi?",connectivity_issue,,,,
1181507_1181506,feature request: iphone 5s @AppleSupport UC: settings &gt; general &gt; sounds &gt; y is “change with buttons” NOT default=on? arg: public transport <URL>,@397858 Thank you for getting in touch with us. Please leave feedback about this using this link: <URL>,app_issue,,,,
2341904_2341903,battery draining within am hour!! \and wont charge from usb point!! Help! @applesupport 11.1.1 battery,"@286121 We'd like to see how we can help with the battery drain and charging. To start, DM us which device you're experiencing this on and we'll start working there. <URL>",battery_issue,,,,
821143_821142,Does anyone know how to fix this problem?? I got my screen replaced and now I can’t use my camera!! #iphone6s @115858 yes I’ve enabled my📷 <URL>,@315593 We'd be happy to look into this with you. Send us a DM and we can start from there. <URL>,screen_display_issue,,,,
2584334_2584336,@AppleSupport This is the third time the phone shows entering the password but the touch doesn’t work as shown in the attached video and then turned back to the black screen with apple logo. <URL>,@732337 What country are you located in? DM us back. <URL>,screen_display_issue,,,,
704444_704443,@115858 you have got to be kidding me with this I️ crap that always pops up when people type I️,"@288333 Hey there. An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to the latest iOS. For more info, check out: <URL> Let us know if you have any questions.",general_support,,,,
2288637_2288636,"@AppleSupport I can’t update any apps since I’ve updated to iOS 11. I have 11.1.1 now but still can’t update any, therefore can’t use some🤬",@664907 We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? <URL>,ios_update_issue,,,,
1578477_1578479,@AppleSupport Still didn’t help,@486128 No worries. Did you have trouble setting up the Text Replacement? Send us a DM. <URL>,app_issue,,,,
2888461_2888463,@AppleSupport Tried them both!,@235211 Thanks for the information. We have some additional details we'd like to gather. Meet us in DM and we'll continue from there. <URL>,app_issue,,,,
2424381_2424380,"Dear @118936 @115858 , since the last update my music and iMovie app has stopped working , can you help?",@696221 We're glad to assist. Which device are you using?,general_support,,,,
1928965_1928964,"Decide to leave @115888 and give @115948 a try, purchase a subscription and can’t play music. Well done @115858 ! <URL>",@574035 We'd like to work with you and make sure you can enjoy Apple Music. Have you tried to restart your iPhone? Let us know in DM. <URL>,product_information,,,,
2402079_2402078,my phone has been so laggy today @115858 fix this,"@691084 Your iPhone is important to you, we'll do all we can to help. To start, can you tell us what iOS version is installed? This can be found in Settings &gt; General &gt; About. Also, when did your iPhone begin to behave this way?",device_performance,,,,
1615381_1615380,@115858 hey stop changing our letters. We all can't afford a $1000 phone rn &amp; probably never will be able to.,@495439 Let's help. Try this out: <URL> Let us know if that helps correct that issue with autocorrect.,general_support,,,,
1458067_1458066,#watchos4 killed my watch and now it won’t turn in at all. @115858 @AppleSupport,@274051 Let’s get your Apple Watch back up and running. Let us know if any of these steps help: <URL>,app_issue,,,,
2318565_2318564,Why does my camera do this when I open it? @AppleSupport <URL>,"@672105 Are you referring to the image being out of focus? Does it clear up after a moment, and is it just the rear camera?",app_issue,,,,
210913_210915,@AppleSupport There no such thing as auto brightness,@165935 Let's discuss this further in DM. Send us a DM using the link below and we'll contiue there. <URL>,screen_display_issue,,,,
1975675_1975673,Gee thanks for fixing #krack @115858 but what about fixing the audio handling bug? #ios11.1 <URL>,@481503 We want to help. Is this in regards to the audio issue we were helping with before? DM us and we'll continue there. <URL>,ios_update_issue,,,,
1541090_1541091,@AppleSupport It worked after a few hours. Thansk.,@477604 We're glad to hear that! Feel free to reach out to us again in the future.,app_issue,,,,
2070208_2070207,@AppleSupport my iphone 6s and my 13 mo. old ipad pro is so slow after the update. I’m so pissed!!,"@612228 We’d like to help, please let us know more about the situation via DM. We’ll want to know the changes you’ve noticed. <URL>",ios_update_issue,,,,
1985032_1985031,I️ updated and it’s trash. FIX THIS “I️” PROBLEM @AppleSupport,@587573 We'd like to gather some more information for better troubleshooting. Can you DM us your device and OS version? <URL>,ios_update_issue,,,,
2057259_2057258,So many days and my #AppleMusic #Music doesn’t fix. I restarted the phone so many times and nothing☹️ @AppleSupport <URL>,@543421 Let's see what we can do to assist. Send us a DM with your current iOS version to get started. <URL>,app_issue,,,,
1748734_1748733,"Ever since i updated my phone, my music randomly pauses and skips on its own. What’s good @AppleSupport",@527102 Thanks for reaching out. DM which iPhone and specific iOS version you are using to get started. <URL>,ios_update_issue,,,,
2756173_2756172,I️ HATE THIS GLITCH SO MUCH. EXPLAIN @AppleSupport,"@771399 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.2. For more info, check out: <URL>",device_performance,,,,
1702893_1702892,@AppleSupport please fix this update 😡 <URL>,@516249 Here’s what you can do to work around the issue until it’s fixed in a future software update: <URL>,ios_update_issue,,,,
862719_862721,@AppleSupport It just happened once so far.. it automatically set to a silent alarm and I missed an important work conference,@324854 What troubleshooting steps have you attempted so far?,app_issue,,,,
