conversation_id,customer_text,historical_reply,suggested_intent,gold_intent,gold_action,gold_reply_quality,label_notes
894895_894897,@AppleSupport Music isn’t as loud as it used to be and sky go (that’s probably a Sky go app issue..... on full volume and can hardly hear any talking).,@332480 Are you using the native Music app or another app to play that music? Have you tried other apps as well?,app_issue,app_issue,escalate,3.0,Mixed music and Sky Go app issue; historical reply asks for more troubleshooting details.
1599046_1599045,@AppleSupport can we get an update for iOS to stop this bug? <URL>,@491082 We'd like to help. Could we please have you send us a DM so we can get started on this? <URL>,ios_update_issue,ios_update_issue,escalate,3.0,
610247_610246,Can someone explain to me why the WiFi setting keeps turning on by itself with the new iPhone update?!?!? 😭 @115858,@265083 Check out the following article for information on this: <URL> <URL>,ios_update_issue,connectivity_issue,auto_handle,4.0,WiFi setting turns on by itself; connectivity issue despite being related to a recent iPhone update.
240544_240543,@173136 @AppleSupport Ah oui effectivement déjà moi mon 6S est un peu ralenti j’imagine pas l’tien,@173135 We offer support via Twitter in English. Contact us for help in your preferred language here: <URL>,app_issue,app_issue,auto_handle,5,
1533028_1533027,Hey @AppleSupport can you explain this problem I’m having every time I️ try to type “I️” 😑,@475479 We can definitely look into this with you. Which device are you using? DM us and we'll go from there. <URL>,app_issue,app_issue,escalate,4,
873895_873896,@AppleSupport @200998 are perfectly working fine with my phone it’s @115858 maps not working,@327468 Let's continue this conversation in DM. <URL>,app_issue,app_issue,auto_handle,5,
2966663_2966662,"LOL, the update button’s body keeps spinning. Target the wrong layer, @115858? <URL>",@652687 We appreciate you contacting us. Not being able to update would concern us too. Let's partner together in resolving this matter. DM us to get started. <URL>,ios_update_issue,ios_update_issue,escalate,1,
1748014_1748012,"10) hola @AppleSupport @115858, recordáis que tenéis un caso abierto conmigo desde hace ya 3 meses verdad?? Solución cuando???",@526937 We offer support via Twitter in English. Get help in Spanish here: <URL> or join <URL>,app_issue,app_issue,auto_handle,5,
146597_146596,"@AppleSupport you restored my phone without my permission and deleted everything on my phone, thanks for nothing.",@149275 We'd like to look into this with you. Can you tell us when you noticed the missing content and restored device?,app_issue,app_issue,escalate,5,
2210633_2210635,@AppleSupport Thank you. Can you recommend a website to purchase at good value #airpods #apple #iphone8,"@646131 Of course, you can purchase AirPods from <URL> Let us know if you need help and we'll get you in contact with our Sales Advisors.",app_issue,app_issue,auto_handle,3,
982069_982067,Since upgrading to 11.0.3 I’ve noticed that bluetooth has come on randomly. @AppleSupport,@352848 We're here to help! Check out info on Bluetooth in iOS 11.0.3. This link has more info: <URL>,app_issue,app_issue,auto_handle,2,
1714773_1714771,@AppleSupport safari is literally bricked on my phone now wtf i was just on amazon :(,@519334 We want to help. Are you able to Force Quit Safari or restart your iPhone? <URL>,app_issue,app_issue,escalate,4,
700016_700018,@AppleSupport i am using 11.1.2 it restarts on its own 20+ times a day,@287020 Alright. Let's move over to DM to troubleshoot further. <URL>,app_issue,app_issue,auto_handle,3,
657201_657200,My ios 11.0.2 loses the wi fi Connection every 3 minutes And i must reconnection ! @AppleSupport,@276437 We're here to help. Which device are you experiencing the Wi-Fi issues on?,ios_update_issue,ios_update_issue,auto_handle,2,
200497_200495,@AppleSupport what have you done w ios 11? It has crippled my phone. Each new update seems to do more harm than good. Msg app useless,@163308 We want to help. Being able to use your Message app is certainly important. What happens when you try to use the message app?,ios_update_issue,ios_update_issue,auto_handle,5,
2522533_2522532,"@AppleSupport wondering if you heard the news that 11.1.1 sucks, most things no longer work on my phone.... thanks again for the hardship! Can I go back to 10.3 please",@718411 We'd like to help with this. Could you please send us a DM with what issues you're having so we can take a look? <URL>,app_issue,app_issue,auto_handle,1,
2009140_2009139,@115858 stop making me update my phone if this is what’s gonna happen,"@594105 If you're running into any issue, we certainly want to help to get this resolved. Go ahead and DM us so we can help. <URL>",ios_update_issue,ios_update_issue,auto_handle,1,
2431326_2431325,@AppleSupport Fix this man <URL>,"@697900 We've released a fix for this issue in the latest iOS version which is iOS 11.1.1. To install this version, make sure to create a backup and update using the steps here: <URL>",app_issue,app_issue,auto_handle,5,2
